,song_name,tempo,total_beats,average_beats,chroma_stft_mean,chroma_stft_std,chroma_stft_var,chroma_cq_mean,chroma_cq_std,chroma_cq_var,chroma_cens_mean,chroma_cens_std,chroma_cens_var,melspectrogram_mean,melspectrogram_std,melspectrogram_var,mfcc_mean,mfcc_std,mfcc_var,mfcc_delta_mean,mfcc_delta_std,mfcc_delta_var,rmse_mean,rmse_std,rmse_var,cent_mean,cent_std,cent_var,spec_bw_mean,spec_bw_std,spec_bw_var,contrast_mean,contrast_std,contrast_var,rolloff_mean,rolloff_std,rolloff_var,poly_mean,poly_std,poly_var,tonnetz_mean,tonnetz_std,tonnetz_var,zcr_mean,zcr_std,zcr_var,harm_mean,harm_std,harm_var,perc_mean,perc_std,perc_var,frame_mean,frame_std,frame_var
29,Character Dheela [Full Song] - Ready (2011)  HD  music video English Subtitles Lyrics in description.mp3,112.3471467,143680,1282.857143,0.337921707,0.311471738,0.097014643,0.548966515,0.260282019,0.067746729,0.267054235,0.109614639,0.012015369,1.639336874,11.52750386,132.8833453,-3.727436917,41.44046322,1717.311992,0.010882905,2.939241586,8.639141099,0.082334265,0.040523048,0.001642117,3152.75679,921.8366081,849782.732,2701.696649,407.7090219,166226.6465,20.00582823,7.065264404,49.9179611,6369.515651,1447.814549,2096166.97,0.989806955,1.259290253,1.585811942,0.006806062,0.054799856,0.003003024,0.172118574,0.102352635,0.010476062,-2.00E-05,0.069415256,0.004818478,-4.36E-05,0.039300404,0.001544522,1.518585034,0.881759243,0.777499362
30,Ciara - Level Up.mp3,151.9990809,191555,1277.033333,0.497933264,0.29615806,0.087709596,0.618492124,0.264657721,0.070043709,0.272404275,0.09554708,0.009129244,15.49468469,139.1547406,19364.04182,2.87291195,43.49776864,1892.055877,0.006966037,4.283040427,18.3444353,0.225779384,0.129208058,0.016694721,2377.990868,1030.521489,1061974.54,2676.353725,528.8464531,279678.5709,19.23162561,6.642699162,44.12545215,5150.348023,2017.246115,4069281.889,2.215553286,2.98419822,8.905439015,0.005589548,0.052462922,0.002752358,0.08069698,0.081713841,0.006677152,5.86E-05,0.160172164,0.025655122,0.000770271,0.15044412,0.022633433,2.598312925,1.728177786,2.98659846
31,Coldplay - Adventure Of A Lifetime (Official Video).mp3,112.3471467,139560,1268.727273,0.318320051,0.301157256,0.090695693,0.552802686,0.261127831,0.068187744,0.271183797,0.09895798,0.009792682,1.546409782,18.33842363,336.2977813,-12.1398333,62.23518898,3873.218747,0.00836798,1.997671534,3.990691558,0.055323325,0.061810389,0.003820524,2919.549632,953.8040227,909742.1138,2297.923817,332.9279465,110841.0175,20.50839153,8.003870732,64.06194669,5384.396608,1370.205945,1877464.331,0.682865189,1.270353373,1.613797693,0.004826821,0.056790312,0.00322514,0.198634664,0.122357874,0.014971449,2.47E-06,0.058275219,0.003396001,7.27E-05,0.038867135,0.001510654,3.478349206,3.987195498,15.89772794
32,Coldplay - Paradise (Official Video) (2).mp3,143.5546875,178019,1280.71223,0.4059182,0.290539589,0.084413253,0.45834184,0.269842617,0.072815038,0.24974452,0.144779169,0.020961008,7.832718989,61.39470015,3769.309206,3.511386307,35.60534609,1267.74067,0.010767372,2.304847135,5.312320315,0.171076268,0.078441955,0.00615314,2373.386446,886.2736118,785480.915,2484.204659,523.178213,273715.4425,21.24608798,6.389242374,40.82241811,5124.285681,1771.189105,3137110.844,2.028576859,2.489730936,6.198760133,0.009542646,0.081571912,0.006653977,0.094255666,0.061872753,0.003828238,2.05E-05,0.154672742,0.023923656,-5.14E-06,0.069070973,0.0047708,14.40914286,4.447912321,19.78392401
33,Coldplay - Paradise (Official Video).mp3,143.5546875,178019,1280.71223,0.4059182,0.290539589,0.084413253,0.45834184,0.269842617,0.072815038,0.24974452,0.144779169,0.020961008,7.832718989,61.39470015,3769.309206,3.511386307,35.60534609,1267.74067,0.010767372,2.304847135,5.312320315,0.171076268,0.078441955,0.00615314,2373.386446,886.2736118,785480.915,2484.204659,523.178213,273715.4425,21.24608798,6.389242374,40.82241811,5124.285681,1771.189105,3137110.844,2.028576859,2.489730936,6.198760133,0.009542646,0.081571912,0.006653977,0.094255666,0.061872753,0.003828238,2.05E-05,0.154672742,0.023923656,-5.14E-06,0.069070973,0.0047708,14.40914286,4.447912321,19.78392401
34,Coldplay - Viva La Vida.mp3,135.9991776,176680,1289.635036,0.305099591,0.296282662,0.087783416,0.506545796,0.274123663,0.075143783,0.253461833,0.138168132,0.019090433,0.650503235,3.56645406,12.71959456,-4.930811702,58.45210069,3416.648075,0.01384061,2.614210802,6.834098117,0.05070902,0.017275788,0.000298453,1767.757896,658.60004,433754.0127,2044.342293,455.9612477,207900.6594,21.89131104,6.142194005,37.7265472,3645.182125,1400.309513,1960866.733,0.613587074,0.709127446,0.502861735,0.008383359,0.064936623,0.004216765,0.077825493,0.040105319,0.001608437,3.84E-07,0.042052668,0.001768427,1.98E-05,0.023233002,0.000539772,4.512798186,2.217770373,4.918505426
36,Cyndi Lauper - Girls Just Want To Have Fun (Official Video).mp3,123.046875,153048,1275.4,0.36656603,0.306758015,0.09410048,0.50170224,0.276676101,0.076549665,0.259951825,0.125532395,0.015758382,1.438914711,10.54164233,111.1262231,-2.551393189,43.83002683,1921.071252,0.001756157,2.649078502,7.017616912,0.076951608,0.034319799,0.001177849,2439.626035,584.344777,341458.8184,2288.708127,380.2070513,144557.4019,20.71558161,7.166958179,51.36528954,4756.350406,1302.413895,1696281.953,1.01513566,1.203429123,1.448241653,-0.014958339,0.072424205,0.005245265,0.131510921,0.04703043,0.002211861,-4.22E-06,0.062371921,0.003890256,-6.25E-05,0.038925175,0.001515169,2.741115646,1.830749858,3.351645043
37,Daft Punk - Instant Crush (Video) ft. Julian Casablancas.mp3,107.6660156,137217,1319.394231,0.386678243,0.311840197,0.097244308,0.491176189,0.281550921,0.079270921,0.252038408,0.14074791,0.019809974,7.929971253,62.914015,3958.173283,2.821093626,56.21472373,3160.095164,0.010591736,4.599447975,21.15492167,0.167959258,0.075134873,0.005645249,1703.954112,1027.501576,1055759.488,2396.980233,743.8022714,553241.819,20.47862581,6.129361194,37.56906865,3853.047534,2645.520727,6998779.918,1.490447783,1.925960291,3.709323041,-0.006964803,0.069713037,0.004859908,0.048356473,0.047768036,0.002281785,8.81E-05,0.127229244,0.016187282,-0.000817389,0.099290088,0.009858522,5.65754195,1.577458433,2.488375107
38,"David Guetta - Play Hard ft. Ne-Yo, Akon (Official Video).mp3",129.1992188,166544,1301.125,0.430590101,0.305878114,0.093561421,0.511693687,0.273234952,0.074657339,0.257330524,0.130821768,0.017114335,8.737289468,99.75449886,9950.960042,2.859346111,48.36391402,2339.06818,0.013647355,2.297608876,5.279006547,0.163098603,0.109366164,0.011960958,1907.139056,1078.526833,1163220.13,2184.527065,735.8537787,541480.7837,20.04935646,6.459551277,41.7258027,4072.208709,2451.577232,6010230.923,1.66711005,2.276359077,5.181810645,0.00466324,0.057202861,0.003272167,0.066479946,0.059248456,0.003510379,-7.25E-05,0.165255994,0.027309544,-0.000324289,0.066076986,0.004366168,6.827827664,2.579646828,6.654577759
39,David Guetta - Titanium ft. Sia (Official Video).mp3,123.046875,90375,961.4361702,0.368310001,0.300178367,0.090107052,0.514388372,0.281202751,0.079074987,0.259088899,0.127303871,0.016206276,15.34271279,124.4941841,15498.80188,1.016136115,44.51567291,1981.645135,0.013301892,3.304381029,10.91893399,0.24359943,0.103445947,0.010701064,1998.330078,1038.19568,1077850.271,2252.51596,869.551926,756120.552,21.10164598,6.180899657,38.20352057,4260.345072,2485.061897,6175532.632,2.707652694,3.287640035,10.808577,0.011377873,0.070031724,0.004904442,0.089186724,0.069455649,0.004824087,4.82E-06,0.209705755,0.043976504,-1.50E-05,0.098393477,0.009681277,2.310385488,1.268381388,1.608791346
